Date,Open,High,Low,Close
2022/2/6,3012.64,3074.56,2950.21,3054.99
2022/2/7,3055,3186,2991.8,3139.77
2022/2/8,3139.77,3232.87,3025.21,3116.69
2022/2/9,3116.69,3269.7,3055,3243.94
2022/2/10,3243.6,3283.66,3056.74,3072.49
2022/2/11,3072.36,3138.62,2879,2927.54
2022/2/12,2927.54,2985.98,2858.3,2918.88
2022/2/13,2918.58,2954.4,2836.7,2871.13
2022/2/14,2871.14,2964.97,2829.01,2929.75
2022/2/15,2929.75,3196.19,2912.06,3183.52
2022/2/16,3183.53,3186.77,3044.03,3122.3
2022/2/17,3122.31,3160,2851.55,2891.87
2022/2/18,2891.88,2943.97,2750,2779.48
2022/2/19,2779.3,2830.96,2694.45,2763.63
2022/2/20,2763.63,2764.64,2576,2621.99
2022/2/21,2621.99,2759.51,2558,2568.02
2022/2/22,2568.03,2665.74,2500,2636.29
2022/2/23,2636.28,2753.55,2575.83,2579.71
2022/2/24,2579.7,2740,2300,2596.2
2022/2/25,2596.26,2834.97,2571.72,2768.49
2022/2/26,2768.05,2878,2727.5,2779.47
2022/2/27,2779.47,2836.33,2557.98,2616.79
2022/2/28,2616.79,2951.6,2568.62,2920.95
2022/3/1,2920.83,3037.94,2854.09,2976.33
2022/3/2,2976.33,3043.91,2914.21,2947.3
2022/3/3,2947.31,2970.97,2785,2833.99
2022/3/4,2834,2836.17,2573,2622.1
2022/3/5,2622.11,2685.12,2589.38,2665.15
2022/3/6,2665.16,2676.29,2535,2551.29
2022/3/7,2551.3,2649,2445,2491.12
2022/3/8,2491.12,2624,2480.15,2575.97
2022/3/9,2575.98,2775.85,2567.7,2726.98
2022/3/10,2726.98,2733.25,2550.27,2606.7
2022/3/11,2606.69,2676.78,2522.57,2556.86
2022/3/12,2556.86,2616.79,2553.39,2568.8
2022/3/13,2568.8,2603.32,2493,2515.65
2022/3/14,2515.66,2609.6,2498.67,2589.41
2022/3/15,2589.42,2669,2507,2617.73
2022/3/16,2617.74,2788,2603.38,2773.81
2022/3/17,2773.8,2836,2746.42,2811.92
2022/3/18,2811.91,2984,2765.59,2938.92
2022/3/19,2938.84,2987.7,2890.86,2950.84
2022/3/20,2950.85,2964.17,2817.21,2861.38
2022/3/21,2861.39,2960.57,2829.81,2890.03
2022/3/22,2890.03,3052.85,2886.43,2969.64
2022/3/23,2969.64,3045.2,2920.65,3036
2022/3/24,3035.99,3129.11,2999.11,3110.76
2022/3/25,3110.75,3193.28,3076,3102.14
2022/3/26,3102.13,3153.2,3084.9,3145
2022/3/27,3145.01,3299.37,3126.02,3295.65
2022/3/28,3295.65,3431.15,3275.01,3332.92
2022/3/29,3332.91,3481.87,3329.68,3400.51
2022/3/30,3400.51,3446.9,3331.84,3385.79
2022/3/31,3385.8,3444.83,3261.35,3281.51
2022/4/1,3281.51,3481.29,3210.68,3455.21
2022/4/2,3455.2,3532.2,3433.14,3443.77
2022/4/3,3443.77,3580.34,3412.11,3521.91
2022/4/4,3521.9,3547,3405.97,3519.5
2022/4/5,3519.5,3555,3400,3406.99
2022/4/6,3407,3407.5,3162.39,3168.51
2022/4/7,3168.52,3268.98,3143.15,3227.19
2022/4/8,3227.2,3314.02,3173.52,3192.39
2022/4/9,3192.39,3268.4,3181.28,3258.57
2022/4/10,3258.57,3307.22,3193,3203.04
2022/4/11,3203.04,3213.63,2950,2979.74
2022/4/12,2979.75,3085,2950,3027.66
2022/4/13,3027.65,3128.97,2996.86,3118.28
2022/4/14,3118.28,3145,2976.3,3021.98
2022/4/15,3021.98,3060.92,2993.13,3040.56
2022/4/16,3040.57,3086.1,3010.03,3059.3
2022/4/17,3059.3,3083,2981.7,2988.06
2022/4/18,2988.07,3069.6,2883.22,3055.56
2022/4/19,3055.56,3131,3030.34,3101.77
2022/4/20,3101.74,3166.5,3036.45,3076.04
2022/4/21,3076.03,3180,2942.31,2983.58
2022/4/22,2983.57,3034.32,2930.35,2962.39
2022/4/23,2962.39,2978.03,2913.89,2933.03
2022/4/24,2933.04,2967.06,2912.09,2921
2022/4/25,2920.99,3025.65,2797.01,3006.62
2022/4/26,3006.63,3039.54,2767,2809.67
2022/4/27,2809.68,2919.87,2794.46,2888.96
2022/4/28,2888.95,2980,2853.83,2936.93
2022/4/29,2936.92,2946.46,2776.63,2817.13
2022/4/30,2817.13,2841.63,2709.26,2726.66
2022/5/1,2726.67,2849.9,2716.13,2824.81
2022/5/2,2824.81,2894.22,2778.78,2856.54
2022/5/3,2856.54,2861.47,2755.19,2781.7
2022/5/4,2781.7,2965.85,2771.74,2940.64
2022/5/5,2940.65,2954.65,2683,2747.97
2022/5/6,2747.96,2758.18,2632.95,2692.85
2022/5/7,2692.86,2704.36,2584.75,2635.34
2022/5/8,2635.35,2642,2484,2519.71
2022/5/9,2519.71,2530.78,2225,2228.55
2022/5/10,2229,2457.34,2200,2342.05
2022/5/11,2342.04,2451.37,2005,2084.99
2022/5/12,2084.99,2195,1800,1960.22
2022/5/13,1960.22,2147.54,1940.23,2009.69
2022/5/14,2009.69,2070.06,1951.21,2056.48
2022/5/15,2056.47,2167,2000.68,2145.29
2022/5/16,2145.29,2145.29,1979.12,2023.66
2022/5/17,2023.66,2122.42,2008,2090.72
2022/5/18,2090.72,2110.72,1908,1915.11
2022/5/19,1915.11,2040.39,1903.18,2019.55
2022/5/20,2019.55,2064,1923,1959.08
2022/5/21,1959.08,1990.86,1937.36,1975.07
